contrast,estimate,SE,df,t.ratio,p.value
pre H - pre L,0.31213642,0.061454577,860.0404589,5.079140313,6.90E-06
pre H - pre M,0.194003768,0.066246554,962.7466517,2.928511111,0.040621228
pre L - pre M,-0.118132651,0.052433617,1201.340878,-2.252994512,0.214531113
post H - post L,0.070967712,0.09265401,1684.392835,0.765943235,0.973139863
post H - post M,0.058106033,0.098629535,1771.394666,0.589134214,0.991773078
post L - post M,-0.012861679,0.081205765,1786.356174,-0.158383817,0.999986209
