"","contrast","estimate","SE","df","t.ratio","p.value"
"1","pre H - post H",-0.867726164978943,0.0946392176691298,1849.64928717332,-9.16877998730525,1.79238845987584e-11
"2","pre H - pre L",0.312136419680238,0.0614545770383368,860.040458898451,5.07914031343052,6.8966430359918e-06
"3","pre H - post L",-0.796758452503677,0.0787259672135115,1476.30173302445,-10.1206562549152,0
"4","pre H - pre M",0.194003768386037,0.0662465536443069,962.746651711816,2.92851111059585,0.0406212277776382
"5","pre H - post M",-0.809620131494396,0.0851275103326669,1577.43435893722,-9.51067555400726,0
"6","post H - pre L",1.17986258465918,0.0865350540078421,1714.89589890743,13.6345045159648,3.61100038759332e-12
"7","post H - post L",0.0709677124752654,0.0926540104591281,1684.3928353433,0.765943234659777,0.973139862733416
"8","post H - pre M",1.06172993336498,0.0898495942762841,1744.16518669209,11.8167471085089,6.82121026329696e-12
"9","post H - post M",0.0581060334845468,0.0986295347724999,1771.39466644296,0.589134214397086,0.991773077912885
"10","pre L - post L",-1.10889487218392,0.0673567788336334,1850.46053568335,-16.4630032995314,1.82126536074634e-11
"11","pre L - pre M",-0.118132651294201,0.0524336169805932,1201.3408776671,-2.25299451185915,0.214531113422479
"12","pre L - post M",-1.12175655117463,0.0752435659192114,1831.98862467889,-14.9083385066978,1.49389389747512e-11
"13","post L - pre M",0.990762220889714,0.0720622228165213,1715.90700783848,13.7487046911155,3.90354415458205e-12
"14","post L - post M",-0.0128616789907186,0.0812057645678271,1786.35617446801,-0.158383817444091,0.999986208804364
"15","pre M - post M",-1.00362389988043,0.0792807682773473,1851.80572542454,-12.6591091596068,1.8860912831542e-11
