"","id","sex","year.of.birth","age","mother","father","behavioral.mother","group.at.birth","rank","ordinal.rank","percofsex.dominanted","idcode","hrs.focalfollowed","focalcutoff_met"
"46","3S7","M",2013-08-20,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"47","3U0","F",2014-09-23,8,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"48","3U4","F",2014-08-15,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"49","3X8","F",2015-08-30,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"50","3X9","F",2015-10-20,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"51","4C5","F",2005-12-14,17,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"52","4J4","F",2009-09-21,13,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"53","4O4","F",2012-11-04,10,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"54","4S7","F",2013-07-27,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"55","4U0","M",2014-09-08,8,NA,NA,NA,NA,NA,NA,NA,NA,2.83333333333333,NA
"56","4U1","F",2014-08-24,8,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"57","4U8","F",2014-09-06,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"58","51Z","F",2004-11-01,18,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA
"59","52Z","F",2004-10-24,18,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA
"60","5B0","M",2005-12-23,17,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"61","5E8","F",2008-01-15,15,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"62","5K8","M",2010-10-25,12,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"63","5L4","M",2010-12-09,12,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,NA
"64","5L7","F",2010-09-26,12,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"65","5O0","F",2012-09-21,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"66","5U1","M",2014-09-03,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"67","5U4","F",2014-10-01,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"68","5U5","F",2014-09-07,8,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"69","5W7","F",2015-10-03,7,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"70","6I9","M",2009-09-27,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"71","6K5","M",2010-12-17,12,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"72","6P9","M",2012-08-24,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"73","6R3","M",2013-08-21,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"74","6T0","M",2014-10-06,8,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"75","6T7","M",2014-09-21,8,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"76","6U0","F",2014-11-10,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"77","6U1","F",2014-09-19,8,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"78","6U3","F",2014-08-18,8,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"79","6V5","M",2015-08-28,7,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA
"80","6W0","M",2015-07-17,7,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"81","6W1","F",2015-08-13,7,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"82","6W2","F",2015-08-09,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"83","77I","M",1998-01-13,25,NA,NA,NA,NA,NA,NA,NA,NA,1.16666666666667,NA
"84","7C4","F",2005-11-07,17,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"85","7D2","M",2006-10-15,16,NA,NA,NA,NA,NA,NA,NA,NA,2.83333333333333,NA
"86","7K4","M",2010-11-29,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"87","7K8","F",2010-09-28,12,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"88","7M8","M",2011-10-21,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"89","7V4","M",2015-07-26,7,NA,NA,NA,NA,NA,NA,NA,NA,1.66666666666667,NA
"90","81O","M",2000-11-13,22,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"91","8C3","M",2006-11-17,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"92","8J3","M",2009-09-18,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"93","8M1","M",2011-08-17,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"94","8N3","F",2011-10-24,11,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"95","8O5","M",2012-09-05,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"96","8R5","F",2013-10-29,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"97","8R7","F",2013-09-10,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"98","8T6","M",2014-08-31,8,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"99","8V1","F",2015-07-15,7,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"100","90T","F",2003-11-15,19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"101","93R","M",2001-10-23,21,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA
"102","9E3","M",2007-11-27,15,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"103","9K9","M",2010-10-23,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"104","9M8","F",2011-09-12,11,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"105","9P3","F",2012-10-12,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"106","9R8","F",2013-09-25,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
