"","id","sex","year.of.birth","age","mother","father","behavioral.mother","group.at.birth","rank","ordinal.rank","percofsex.dominanted","idcode","hrs.focalfollowed","focalcutoff_met"
"1","00V","F",2003-12-14,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"2","04T","M",2002-11-04,20,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"3","0H8","M",2009-01-31,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"4","0J4","M",2009-09-16,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"5","0M1","M",2010-09-20,12,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"6","0M4","F",2010-10-10,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"7","0P9","M",2012-08-25,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"8","0R1","M",2013-08-07,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"9","0S1","F",2013-09-20,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"10","0S5","F",2013-07-27,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"11","0S6","F",2013-09-15,9,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"12","0X1","F",2015-07-25,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"13","1B0","F",2004-11-16,18,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"14","1B1","M",2004-11-07,18,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"15","1F2","M",2007-11-18,15,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"16","1G0","F",2008-10-18,14,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"17","1G1","F",2008-11-03,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"18","1G4","F",2008-09-16,14,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"19","1I5","F",2009-09-22,13,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA
"20","1I6","F",2009-11-09,13,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"21","1I7","F",2009-09-12,13,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"22","1K1","F",2009-10-07,13,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"23","1Q7","F",2012-10-02,10,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"24","1R8","M",2013-08-20,9,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"25","1X0","M",2015-08-24,7,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"26","2C9","M",2005-10-25,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"27","2D0","M",2006-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"28","2E4","F",2006-10-01,16,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"29","2G2","F",2008-10-20,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"30","2G3","F",2008-11-04,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"31","2I3","F",2009-09-27,13,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"32","2K1","F",2010-12-08,12,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"33","2N0","M",2011-08-18,11,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA
"34","2N2","M",2011-09-17,11,NA,NA,NA,NA,NA,NA,NA,NA,1.83333333333333,NA
"35","2N8","M",2011-09-28,11,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"36","2X4","F",2015-07-25,7,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"37","33T","M",2002-12-07,20,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"38","3D9","F",2007-01-05,16,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"39","3H0","F",2008-11-17,14,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"40","3I9","M",2009-10-16,13,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"41","3K4","M",2010-10-02,12,NA,NA,NA,NA,NA,NA,NA,NA,2.83333333333333,NA
"42","3L1","M",2010-10-02,12,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"43","3M2","M",2011-08-11,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"44","3M8","M",2011-09-10,11,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
"45","3P6","M",2012-09-13,10,NA,NA,NA,NA,NA,NA,NA,NA,3.16666666666667,NA
